ToyCar
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6243000000000001,0.6505263157894736,0.8536585365853658,0.35,0.49645390070921985
01,source,0.6261,0.6205263157894737,0.9642857142857143,0.27,0.421875
02,source,0.445,0.47368421052631576,0.0,0.0,0.0
00,target,0.589,0.5521052631578948,1.0,0.09,0.16513761467889906
01,target,0.7045,0.618421052631579,0.9285714285714286,0.26,0.40625
02,target,0.6481000000000001,0.59,0.6057692307692307,0.63,0.6176470588235293
arithmetic mean,,0.6061666666666666,0.5842105263157894,0.7253808183686233,0.26666666666666666,0.3512272623686081
harmonic mean,,0.593684090804762,0.5778649702576155,1.332267629550186e-15,1.3322676295501807e-15,1.3322676295501837e-15

ToyTrain
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6200000000000001,0.5378947368421052,1.0,0.01,0.019801980198019802
01,source,0.6376000000000001,0.5468421052631579,0.7407407407407407,0.2,0.31496062992125984
02,source,0.6078000000000001,0.47368421052631576,0.6296296296296297,0.34,0.4415584415584416
00,target,0.5377000000000001,0.5010526315789474,0.5,0.04,0.07407407407407407
01,target,0.5984,0.4894736842105263,0.2777777777777778,0.05,0.08474576271186442
02,target,0.4679999999999999,0.5289473684210526,0.5,1.0,0.6666666666666666
arithmetic mean,,0.57825,0.5129824561403509,0.6080246913580246,0.2733333333333334,0.2669679258550544
harmonic mean,,0.5717437957137971,0.5115853326424519,0.5200101962783584,0.038975926633549866,0.07251657394735439

fan
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.4325000000000001,0.5126315789473684,0.5833333333333334,0.07,0.12500000000000003
01,source,0.8588000000000001,0.8231578947368421,1.0,0.5,0.6666666666666666
02,source,0.7466999999999999,0.771578947368421,0.9508196721311475,0.58,0.7204968944099378
00,target,0.5297000000000001,0.5521052631578948,0.75,0.12,0.20689655172413793
01,target,0.8344,0.6757894736842105,0.7333333333333333,0.77,0.7512195121951218
02,target,0.6297999999999999,0.7110526315789474,0.9523809523809523,0.4,0.5633802816901408
arithmetic mean,,0.6719833333333334,0.6743859649122808,0.8283112151964612,0.4066666666666667,0.5056099844476675
harmonic mean,,0.6322502781172946,0.6550961156739299,0.7986179066133247,0.19905854036613418,0.3186839085597441

gearbox
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.8352136752136752,0.6925647451963242,1.0,0.17142857142857143,0.2926829268292683
01,source,0.4943415637860082,0.48812360118403003,0.0,0.0,0.0
02,source,0.6853864734299517,0.5722095092804476,0.875,0.15217391304347827,0.2592592592592593
00,target,0.8115354938271605,0.698972547108512,1.0,0.1388888888888889,0.24390243902439027
01,target,0.3948902606310014,0.4781062739152408,0.0,0.0,0.0
02,target,0.6057142857142856,0.4928989139515455,0.5384615384615384,0.058333333333333334,0.10526315789473684
arithmetic mean,,0.6378469587670138,0.5704792651060165,0.5689102564102564,0.08680411778237866,0.15018463050127578
harmonic mean,,0.5943685622779011,0.5560059458638035,6.661338147750935e-16,6.661338147750911e-16,6.661338147750923e-16

pump
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7028000000000001,0.61,0.0,0.0,0.0
01,source,0.8799000000000001,0.7368421052631579,0.0,0.0,0.0
02,source,0.6269,0.5178947368421053,0.0,0.0,0.0
00,target,0.5179,0.5263157894736842,0.0,0.0,0.0
01,target,0.6933999999999999,0.6599999999999999,0.0,0.0,0.0
02,target,0.5419,0.5052631578947369,0.0,0.0,0.0
arithmetic mean,,0.6604666666666666,0.5927192982456139,0.0,0.0,0.0
harmonic mean,,0.6401416119768906,0.5812996140743335,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16

slider
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6116,0.5178947368421053,0.625,0.1,0.1724137931034483
01,source,0.8390000000000001,0.5610526315789474,0.7884615384615384,0.41,0.5394736842105263
02,source,0.7844028520499109,0.6491228070175439,0.8181818181818182,0.5294117647058824,0.6428571428571428
00,target,0.5293000000000001,0.4994736842105263,0.6,0.18,0.2769230769230769
01,target,0.5222448979591836,0.5545649838882921,0.47435897435897434,0.74,0.578125
02,target,0.6261053440984237,0.5747586960480787,0.5142857142857142,0.8823529411764706,0.6498194945848375
arithmetic mean,,0.6521088490179198,0.5594779232642489,0.6367146742146742,0.47362745098039216,0.47660203194650524
harmonic mean,,0.6313742916260304,0.5556079228104421,0.6116373720155631,0.2682385023333914,0.37292690349529634

valve
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5928,0.6226315789473684,0.7755102040816326,0.38,0.5100671140939598
01,source,0.6118999999999999,0.5105263157894737,0.53125,0.17,0.25757575757575757
02,source,0.6289,0.5310526315789473,0.7142857142857143,0.05,0.09345794392523366
00,target,0.4963,0.5573684210526316,0.66,0.33,0.44000000000000006
01,target,0.6438000000000001,0.5473684210526316,0.5027624309392266,0.91,0.6476868327402137
02,target,0.5590999999999999,0.5073684210526316,0.5714285714285714,0.04,0.07476635514018691
arithmetic mean,,0.5888,0.5460526315789473,0.6258728201225242,0.3133333333333334,0.33725900057922525
harmonic mean,,0.5843386710011415,0.5434819781434951,0.6106255483182166,0.10408871575190717,0.1778591314738647

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.6279460677788,0.5771868665090356,0.5704592108100807,0.2600616526803958,0.2982644050997624
"harmonic mean over all machine types, sections, and domains",,0.6058046579327059,0.5658690719491314,1.0362081563168119e-15,1.0362081563168048e-15,1.0362081563168085e-15

