ToyCar;;;;;;
section;domain;AUC;pAUC;precision;recall;F1 score
0;source;0.6392;0.6521052631578947;0.8974358974358975;0.35;0.5035971223021583
1;source;0.6197000000000001;0.621578947368421;0.9642857142857143;0.27;0.421875
2;source;0.44320000000000004;0.47368421052631576;0.0;0.0;0.0
0;target;0.5908;0.5526315789473684;1.0;0.09;0.16513761467889906
1;target;0.7008;0.6194736842105263;0.9629629629629629;0.26;0.40944881889763773
2;target;0.6349;0.5815789473684211;0.6116504854368932;0.63;0.6206896551724137
arithmetic mean;;0.6047666666666668;0.5835087719298245;0.7393891766869113;0.26666666666666666;0.3534580351751848
harmonic mean;;0.5923545214127204;0.5771080643926925;1,33E+00;1,33E+01;1,33E+01
;;;;;;
ToyTrain;;;;;;
section;domain;AUC;pAUC;precision;recall;F1 score
0;source;0.49265;0.52;0.5;1.0;0.6666666666666666
1;source;0.7245499999999999;0.5715789473684211;0.5;1.0;0.6666666666666666
2;source;0.6672;0.47368421052631576;0.5;1.0;0.6666666666666666
0;target;0.5547500000000001;0.5236842105263158;0.5;1.0;0.6666666666666666
1;target;0.62385;0.4884210526315789;0.5;1.0;0.6666666666666666
2;target;0.47109999999999996;0.5168421052631579;0.5;1.0;0.6666666666666666
arithmetic mean;;0.5890166666666666;0.5157017543859649;0.5;1.0;0.6666666666666666
harmonic mean;;0.5748744577808733;0.5138959149222111;0.5;1.0;0.6666666666666666
;;;;;;
fan;;;;;;
section;domain;AUC;pAUC;precision;recall;F1 score
0;source;0.43679999999999997;0.5110526315789473;0.5833333333333334;0.07;0.12500000000000003
1;source;0.8523499999999999;0.8099999999999999;1.0;0.51;0.6754966887417219
2;source;0.7279000000000001;0.7736842105263158;0.9516129032258065;0.59;0.7283950617283951
0;target;0.50905;0.5515789473684211;0.75;0.12;0.20689655172413793
1;target;0.8258;0.6710526315789473;0.7169811320754716;0.76;0.7378640776699028
2;target;0.6295;0.7131578947368422;0.9555555555555556;0.43;0.593103448275862
arithmetic mean;;0.6635666666666666;0.6717543859649123;0.8262471540316946;0.41333333333333333;0.5111259713566699
harmonic mean;;0.6249757680244147;0.6529391484342236;0.7957860502272321;0.20056078093955515;0.320377335887086
;;;;;;
gearbox;;;;;;
section;domain;AUC;pAUC;precision;recall;F1 score
0;source;0.8349694749694749;0.6885804254225307;1.0;0.17142857142857143;0.2926829268292683
1;source;0.4919410150891632;0.4873113854595336;0.0;0.0;0.0
2;source;0.6834406870638755;0.5710088425572789;0.875;0.15217391304347827;0.2592592592592593
0;target;0.8154899691358024;0.6935916179337231;1.0;0.14814814814814814;0.25806451612903225
1;target;0.3853737997256516;0.47720381199913364;0.0;0.0;0.0
2;target;0.6023809523809522;0.4906015037593985;0.5;0.06666666666666667;0.11764705882352941
arithmetic mean;;0.6355993163941532;0.5680495978552663;0.5625;0.08973621654781076;0.1546089601735149
harmonic mean;;0.5896912375480232;0.5539526320612276;6,66E-01;6,66E-01;6,66E-01
;;;;;;
pump;;;;;;
section;domain;AUC;pAUC;precision;recall;F1 score
0;source;0.7024;0.6142105263157894;0.0;0.0;0.0
1;source;0.8929000000000001;0.7089473684210527;0.0;0.0;0.0
2;source;0.6268;0.5168421052631579;0.0;0.0;0.0
0;target;0.5232;0.5284210526315789;0.0;0.0;0.0
1;target;0.6465;0.6271381578947368;0.0;0.0;0.0
2;target;0.5394;0.5036842105263157;0.0;0.0;0.0
arithmetic mean;;0.6552000000000001;0.5832072368421052;0.0;0.0;0.0
harmonic mean;;0.6348495029608291;0.5743923653666662;2,22E-01;2,22E-01;2,22E-01
;;;;;;
slider;;;;;;
section;domain;AUC;pAUC;precision;recall;F1 score
0;source;0.6165;0.5173684210526316;0.65;0.13;0.21666666666666667
1;source;0.8565999999999999;0.5778947368421052;0.828125;0.53;0.6463414634146342
2;source;0.7728163992869875;0.6538136785814804;0.7976190476190477;0.6568627450980392;0.7204301075268816
0;target;0.5294;0.5036842105263157;0.5952380952380952;0.25;0.352112676056338
1;target;0.5229591836734694;0.5552094522019334;0.4817073170731707;0.79;0.5984848484848485
2;target;0.6334102268358324;0.5978267467977904;0.5;0.9411764705882353;0.6530612244897959
arithmetic mean;;0.6552809682993815;0.5676328743337095;0.6421149099883857;0.549673202614379;0.5311828311065275
harmonic mean;;0.6340272189158894;0.5632753632007719;0.6150257293485395;0.34423781207742493;0.44141177538665755
;;;;;;
valve;;;;;;
section;domain;AUC;pAUC;precision;recall;F1 score
0;source;0.5902;0.62;0.782608695652174;0.36;0.4931506849315068
1;source;0.6146999999999999;0.508421052631579;0.5384615384615384;0.21;0.302158273381295
2;source;0.6324000000000001;0.5342105263157895;0.7272727272727273;0.08;0.14414414414414414
0;target;0.4926;0.5557894736842105;0.627906976744186;0.27;0.37762237762237766
1;target;0.6394000000000001;0.5568421052631579;0.5;0.89;0.6402877697841726
2;target;0.5465;0.5073684210526316;0.6666666666666666;0.08;0.14285714285714285
arithmetic mean;;0.5859666666666666;0.5471052631578947;0.6404861007995487;0.315;0.3500367321201065
harmonic mean;;0.5810425881131095;0.5445764849350168;0.6248364212411323;0.16056956487152974;0.25548496968084156
;;;;;;
;;AUC;pAUC;precision;recall;F1 score
arithmetic mean over all machine types, sections, and domains;;0.6270567073371713;0.5767085549242396;0.5586767630723629;0.37634420273745567;0.3667255995140958
harmonic mean over all machine types, sections, and domains;;0.60360473121017;0.565975247785822;1,04E+01;1,04E+01;1,04E+01
