ToyCar
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6863,0.5252631578947369,0.6730769230769231,0.35,0.46052631578947373
01,source,0.60895,0.5126315789473684,0.5882352941176471,0.4,0.4761904761904762
02,source,0.7291000000000001,0.5626315789473684,0.7457627118644068,0.44,0.5534591194968553
00,target,0.49219999999999997,0.5047368421052632,0.4878048780487805,0.4,0.43956043956043955
01,target,0.6396000000000001,0.5157894736842106,0.66,0.33,0.44000000000000006
02,target,0.5657,0.5305263157894737,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6203083333333334,0.5252631578947368,0.6091466345179596,0.48666666666666664,0.5060671696173186
harmonic mean,,0.6101463263886577,0.524621587785924,0.5945435827041866,0.4237236319168449,0.4948056120809683

ToyTrain
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7063999999999999,0.6757894736842105,0.5,1.0,0.6666666666666666
01,source,0.7106999999999999,0.6,0.5050505050505051,1.0,0.6711409395973155
02,source,0.7205,0.47421052631578947,0.5,1.0,0.6666666666666666
00,target,0.5687,0.4968421052631579,0.5,1.0,0.6666666666666666
01,target,0.5048,0.48473684210526313,0.5,1.0,0.6666666666666666
02,target,0.5316000000000001,0.48789473684210527,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6237833333333332,0.536578947368421,0.5008417508417509,1.0,0.6674123788217748
harmonic mean,,0.6103075092275349,0.5272178494780879,0.5008347245409015,1.0,0.6674082313681869

fan
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6597999999999999,0.5721052631578947,0.6017699115044248,0.68,0.6384976525821596
01,source,0.6814000000000001,0.51,0.6585365853658537,0.54,0.5934065934065934
02,source,0.6464,0.5368421052631579,0.6153846153846154,0.48,0.5393258426966293
00,target,0.6973,0.5489473684210526,0.6216216216216216,0.69,0.6540284360189573
01,target,0.5213,0.4831578947368421,0.532258064516129,0.66,0.5892857142857142
02,target,0.6896,0.5994736842105264,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6493,0.5417543859649122,0.5882617997321075,0.6750000000000002,0.6135351509427867
harmonic mean,,0.6429002539360126,0.5390363632922818,0.5829336409351668,0.6403278274972297,0.6102842957252752

gearbox
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5634188034188033,0.5200822569243622,0.35807860262008734,0.780952380952381,0.49101796407185627
01,source,0.7252229080932784,0.5204317377806656,0.5463917525773195,0.9814814814814815,0.7019867549668873
02,source,0.5933306494900698,0.5145068791140492,0.6052631578947368,0.8333333333333334,0.7012195121951219
00,target,0.7309992283950617,0.5507431773879142,0.5497382198952879,0.9722222222222222,0.7023411371237458
01,target,0.720679012345679,0.5099631795538229,0.5373134328358209,1.0,0.6990291262135923
02,target,0.6642063492063492,0.5311194653299917,0.574468085106383,0.9,0.7012987012987012
arithmetic mean,,0.6663094918248736,0.5244744493484677,0.5285422084882726,0.911331569664903,0.6661488659783175
harmonic mean,,0.6593194353949241,0.5241395634805948,0.5129983088259226,0.9037453553982014,0.6544865534054954

pump
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6775,0.6305263157894737,0.7142857142857143,0.45,0.5521472392638037
01,source,0.8096,0.5910526315789474,0.7181818181818181,0.79,0.7523809523809524
02,source,0.6316,0.5510526315789473,0.6351351351351351,0.47,0.5402298850574712
00,target,0.5767,0.508421052631579,0.5405405405405406,0.4,0.45977011494252873
01,target,0.45890000000000003,0.51,0.4906832298136646,0.79,0.6053639846743295
02,target,0.6207,0.5147368421052632,0.6181818181818182,0.34,0.43870967741935485
arithmetic mean,,0.6291666666666668,0.5509649122807017,0.6195013760231151,0.5399999999999999,0.5581003089564067
harmonic mean,,0.6110797777284511,0.5472964302700193,0.6077491116872947,0.4869061270493047,0.540657470439459

slider
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7127,0.5436842105263158,0.6575342465753424,0.48,0.5549132947976879
01,source,0.7839,0.5826315789473684,0.7682926829268293,0.63,0.6923076923076923
02,source,0.7644385026737968,0.6383338024204898,0.6666666666666666,0.6862745098039216,0.6763285024154588
00,target,0.6706,0.578421052631579,0.6039603960396039,0.61,0.6069651741293532
01,target,0.6444897959183673,0.5163265306122449,0.6506024096385542,0.54,0.5901639344262295
02,target,0.46049596309111884,0.5039357332200166,0.4768211920529801,0.7058823529411765,0.5691699604743083
arithmetic mean,,0.6727707102805471,0.5605554847263358,0.6373129323166628,0.6086928104575163,0.6149747597584551
harmonic mean,,0.6520799223067423,0.5569884962595688,0.6241926069215997,0.5978691609140465,0.6107473778676584

valve
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5014000000000001,0.5063157894736842,0.5434782608695652,0.25,0.3424657534246575
01,source,0.5265,0.49157894736842106,0.5294117647058824,0.27,0.3576158940397351
02,source,0.593,0.5068421052631579,0.6,0.3,0.4
00,target,0.4681,0.4863157894736842,0.40476190476190477,0.17,0.23943661971830987
01,target,0.5504,0.5284210526315789,0.5209580838323353,0.87,0.651685393258427
02,target,0.558,0.4905263157894737,0.5,0.27,0.35064935064935066
arithmetic mean,,0.5329,0.5016666666666666,0.5164350023616145,0.355,0.3903088351817467
harmonic mean,,0.5297843745154566,0.5012678651638528,0.5090922164079836,0.27557674922536524,0.3575876814254006

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.6277912193483934,0.5344654291786061,0.5714345291830691,0.6538130066841551,0.5737924956081151
"harmonic mean over all machine types, sections, and domains",,0.6136476076388622,0.5309703581728465,0.5575387774210273,0.5230368134093373,0.539736984564574

