ToyCar
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6397999999999999,0.6521052631578947,0.9210526315789473,0.35,0.5072463768115941
01,source,0.6212,0.6210526315789474,0.9642857142857143,0.27,0.421875
02,source,0.44189999999999996,0.47368421052631576,0.0,0.0,0.0
00,target,0.5927,0.5526315789473685,1.0,0.09,0.16513761467889906
01,target,0.6995999999999999,0.618421052631579,0.9285714285714286,0.26,0.40625
02,target,0.6323,0.5826315789473684,0.6074766355140186,0.65,0.6280193236714975
arithmetic mean,,0.6045833333333333,0.583421052631579,0.7368977349916848,0.27,0.35475471919366514
harmonic mean,,0.5920755696672316,0.5770523067091792,1.332267629550186e-15,1.3322676295501807e-15,1.3322676295501837e-15

ToyTrain
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.48685,0.5231578947368422,0.5,1.0,0.6666666666666666
01,source,0.7192999999999999,0.5721052631578948,0.5,1.0,0.6666666666666666
02,source,0.67455,0.47368421052631576,0.5,1.0,0.6666666666666666
00,target,0.50705,0.5189473684210526,0.5,1.0,0.6666666666666666
01,target,0.62435,0.48947368421052634,0.5,1.0,0.6666666666666666
02,target,0.4587,0.5221052631578947,0.5,1.0,0.6666666666666666
arithmetic mean,,0.5784666666666667,0.516578947368421,0.5,1.0,0.6666666666666666
harmonic mean,,0.5617628794169439,0.5147642526183078,0.5,1.0,0.6666666666666666

fan
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.4402499999999999,0.5121052631578947,0.5833333333333334,0.07,0.12500000000000003
01,source,0.8553,0.8089473684210526,1.0,0.51,0.6754966887417219
02,source,0.72635,0.7736842105263158,0.9516129032258065,0.59,0.7283950617283951
00,target,0.5072000000000001,0.55,0.8,0.12,0.20869565217391303
01,target,0.8237,0.6684210526315789,0.7222222222222222,0.78,0.7500000000000001
02,target,0.6345000000000001,0.7152631578947368,0.9555555555555556,0.43,0.593103448275862
arithmetic mean,,0.6645500000000001,0.6714035087719298,0.8354540023894863,0.41666666666666674,0.5134484751533154
harmonic mean,,0.6263668477208405,0.6526175122927224,0.8057736167400797,0.20078722067066396,0.32146898425170645

gearbox
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.8362393162393162,0.6889660047554784,1.0,0.17142857142857143,0.2926829268292683
01,source,0.49031207133058985,0.4876723702259765,0.0,0.0,0.0
02,source,0.6837761674718196,0.5759527643585615,0.8695652173913043,0.14492753623188406,0.24844720496894407
00,target,0.8150077160493827,0.6999878167641326,1.0,0.14814814814814814,0.25806451612903225
01,target,0.3856310013717421,0.47603061150819437,0.0,0.0,0.0
02,target,0.6074603174603174,0.4931077694235589,0.5,0.058333333333333334,0.1044776119402985
arithmetic mean,,0.6364044316538613,0.570286222839317,0.5615942028985507,0.08713959819032284,0.1506120433112572
harmonic mean,,0.5903102326048603,0.5557862725165988,6.661338147750935e-16,6.661338147750911e-16,6.661338147750923e-16

pump
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7025,0.6115789473684211,0.0,0.0,0.0
01,source,0.8917499999999999,0.7105263157894737,0.0,0.0,0.0
02,source,0.6268,0.5147368421052632,0.0,0.0,0.0
00,target,0.5215,0.5268421052631579,0.0,0.0,0.0
01,target,0.6633,0.6416970998925886,0.0,0.0,0.0
02,target,0.5373,0.5010526315789474,0.0,0.0,0.0
arithmetic mean,,0.6571916666666667,0.584405656999642,0.0,0.0,0.0
harmonic mean,,0.6364967266783087,0.5748487884225181,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16

slider
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.61435,0.5163157894736842,0.631578947368421,0.12,0.20168067226890754
01,source,0.8559,0.5778947368421052,0.8253968253968254,0.52,0.6380368098159509
02,source,0.773885918003565,0.655690027207055,0.788235294117647,0.6568627450980392,0.7165775401069518
00,target,0.5306,0.5036842105263157,0.5777777777777777,0.26,0.3586206896551724
01,target,0.5241836734693878,0.5516648764769065,0.47560975609756095,0.78,0.5909090909090909
02,target,0.6339869281045752,0.6017725975839252,0.5,0.9411764705882353,0.6530612244897959
arithmetic mean,,0.6554844199295881,0.5678370396849987,0.6330997667930386,0.5463398692810458,0.5264810045409782
harmonic mean,,0.6343846467205294,0.5632664669610935,0.6062527793352795,0.3338990428195493,0.4306266667925568

valve
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5903999999999999,0.6210526315789474,0.782608695652174,0.36,0.4931506849315068
01,source,0.6111,0.508421052631579,0.5384615384615384,0.21,0.302158273381295
02,source,0.633,0.5336842105263158,0.7,0.07,0.1272727272727273
00,target,0.49285,0.56,0.6190476190476191,0.26,0.36619718309859156
01,target,0.6391,0.5584210526315789,0.49444444444444446,0.89,0.6357142857142857
02,target,0.5498,0.5073684210526316,0.7272727272727273,0.08,0.14414414414414414
arithmetic mean,,0.5860416666666667,0.5481578947368422,0.6436391708130839,0.3116666666666667,0.3447728830904251
harmonic mean,,0.5812546735777728,0.5455417066927641,0.6265436083747878,0.15269061407604925,0.24554190653300226

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.626103169273826,0.5774414747189615,0.5586692682694064,0.37597325725781455,0.3652479702794726
"harmonic mean over all machine types, sections, and domains",,0.6020229309228896,0.5665670624893379,1.0362081563168119e-15,1.036208156316809e-15,1.0362081563168105e-15

